patient,chr,start,end,type
CONTROL14,12,75710419,76219392,Gain
CONTROL14,1,49980289,50243823,LOH
CONTROL14,18,18013979,18364353,Gain
CONTROL14,Y,57370120,57741652,LOH
CONTROL14,15,60173902,60194247,Gain
CONTROL14,12,7976520,8438381,Gain
CONTROL14,9,57072691,57714212,Loss
CONTROL14,4,23486383,24465176,Gain
CONTROL14,7,46796941,47118923,Gain
CONTROL14,20,56441164,56593430,Gain
CONTROL14,18,9301917,10157886,Gain
CONTROL14,10,64013872,64641546,LOH
CONTROL14,16,20532446,20800759,Gain
CONTROL14,Y,3416527,4288438,Gain
CONTROL14,7,26044848,26574499,LOH
CONTROL14,7,66866100,66919001,LOH
CONTROL14,6,101961652,102903940,Gain
CONTROL14,13,52751159,53508402,LOH
CONTROL14,4,131870615,132085339,Loss
CONTROL14,11,82780633,83166322,Loss
CONTROL14,22,46966552,47772993,Loss
CONTROL14,18,35610340,36196596,Loss
CONTROL14,6,39358852,39643357,Loss
CONTROL14,12,9467222,10347042,Gain
CONTROL14,9,118305311,119157285,Loss
CONTROL14,18,52527072,53379605,Gain
CONTROL14,17,39525236,40084426,Gain
CONTROL14,3,163380780,163794153,Loss
CONTROL14,4,50919408,51390072,LOH
CONTROL14,9,21831251,22388409,Loss
CONTROL14,10,9148547,9705880,Loss
CONTROL14,10,115735042,116705677,Loss
CONTROL14,12,21516631,21775990,LOH
CONTROL14,X,134933656,135280525,LOH
CONTROL14,11,102603011,102676877,Gain
CONTROL14,22,14242085,15240960,LOH
CONTROL14,1,53559834,53747066,Gain
CONTROL14,2,59062086,60031067,Gain
CONTROL14,17,65540870,65858612,LOH
CONTROL14,15,92500029,93025287,Gain
CONTROL14,1,83859173,84530307,LOH
CONTROL14,16,59877593,60155248,LOH
CONTROL14,12,86521181,86959865,Gain
CONTROL14,20,16670158,17269611,Loss
CONTROL14,X,4585899,5425741,Gain
CONTROL14,21,28540392,28836904,Gain
CONTROL14,18,30679246,31159318,Loss
CONTROL14,21,9106202,9871838,Loss
CONTROL14,6,74228135,74345187,Loss
CONTROL14,22,47642325,48009285,Gain
CONTROL14,2,36325952,36657730,Gain
CONTROL14,7,86129486,86599199,Gain
CONTROL14,14,15736368,16153181,LOH
CONTROL14,15,11755357,12743479,Gain
CONTROL14,19,37691159,38050943,Gain
CONTROL14,11,37866896,38851378,Loss
CONTROL14,14,81060877,81919078,Loss
CONTROL14,1,93942767,94850128,Loss
CONTROL14,18,10311180,10409913,Gain
CONTROL14,6,54900838,55150513,LOH
CONTROL14,16,5434653,5800047,Loss
CONTROL14,19,43046989,43590628,Gain
CONTROL14,16,82679350,83303787,LOH
CONTROL14,1,75709180,75759749,LOH
CONTROL14,20,15370594,15558578,Gain
CONTROL14,Y,50811069,51441766,LOH
CONTROL14,4,20049604,20441714,Loss
CONTROL14,14,48674366,49146658,Loss
CONTROL14,5,48947109,49292097,Loss
CONTROL14,9,94483344,95355989,Loss
CONTROL14,3,19573163,20564196,Loss
CONTROL14,11,31231570,31452033,Loss
CONTROL14,13,108803998,108908971,LOH
CONTROL14,X,129897008,130861965,Loss
CONTROL14,22,16627723,17436934,LOH
CONTROL14,12,39907045,40582828,LOH
CONTROL14,Y,36266492,36765336,Loss
CONTROL14,18,2913149,2979787,LOH
CONTROL14,9,89776072,90450014,Loss
CONTROL14,20,37140153,37215424,Gain
CONTROL14,12,86390355,86968488,Loss
CONTROL14,8,16855369,17045979,Loss
CONTROL14,Y,1659724,2524550,Loss
CONTROL14,18,74102310,74147937,Loss
CONTROL14,20,22690974,23293594,Gain
CONTROL15,21,8606081,9568368,Loss
CONTROL15,16,70117374,71044183,Gain
CONTROL15,13,99432963,99537470,LOH
CONTROL15,2,41074621,42003984,Loss
CONTROL15,15,27003379,27413184,LOH
CONTROL15,8,113830402,114431117,Loss
CONTROL15,2,179149358,179418022,Loss
CONTROL15,12,73240967,73861432,Gain
CONTROL15,20,13262686,13313846,Gain
CONTROL15,2,32179580,33086200,Gain
CONTROL15,17,46117177,46996640,LOH
CONTROL15,6,6007190,7004695,Gain
CONTROL15,10,88299158,88684306,Gain
CONTROL15,19,19848271,20177826,Gain
CONTROL15,20,16120192,16461725,LOH
CONTROL15,20,37365979,38027596,Gain
CONTROL15,2,116618816,117610004,Gain
CONTROL15,18,44167647,44923093,LOH
CONTROL15,21,22250476,22763585,LOH
CONTROL15,5,31797949,32003976,Loss
CONTROL15,6,133906143,134011056,LOH
CONTROL15,22,49260052,49528953,Loss
CONTROL15,8,112074590,112335775,Loss
CONTROL15,Y,20506299,20971772,Loss
CONTROL15,X,22649036,22977124,Gain
CONTROL15,8,142674462,143372883,LOH
CONTROL15,1,156435750,156607098,Gain
CONTROL15,3,56633721,57067204,Loss
CONTROL15,8,44487700,44564887,Gain
CONTROL15,2,102154209,102599413,LOH
CONTROL15,8,121444363,121954205,Loss
CONTROL15,14,6944436,7396733,LOH
CONTROL15,6,8162291,8912719,LOH
CONTROL15,5,104347698,104925501,LOH
CONTROL15,Y,10849259,11159943,LOH
CONTROL15,17,56446074,57397838,LOH
CONTROL15,3,17035455,17421519,Loss
CONTROL15,4,49940125,50252988,Loss
CONTROL15,15,65211358,65349496,Loss
CONTROL15,5,103281156,103858469,Loss
CONTROL15,1,65303973,66181061,LOH
CONTROL15,4,117682395,118496878,Loss
CONTROL15,14,31453324,31892855,Gain
CONTROL15,16,37554948,38201606,Gain
CONTROL15,22,7414745,8143421,LOH
CONTROL15,10,86607305,86804474,Loss
CONTROL15,5,53140160,54038289,Gain
CONTROL15,21,41269079,41625616,LOH
CONTROL15,19,39454407,40435673,Loss
CONTROL15,14,48934357,49771859,Loss
CONTROL15,11,83079949,83832343,Gain
CONTROL15,17,77385852,77445891,Loss
CONTROL15,20,6754912,7098032,LOH
CONTROL15,10,60128512,60312813,LOH
CONTROL15,10,51359901,52004032,Loss
CONTROL15,18,61032073,62000805,LOH
CONTROL15,21,12113745,13037381,LOH
CONTROL15,19,38133809,38263608,LOH
CONTROL15,1,79024704,79805097,LOH
CONTROL15,19,42329997,42600756,Gain
CONTROL15,7,1143053,1628816,Gain
CONTROL15,7,26318527,26758680,Gain
CONTROL15,11,110295987,110764447,Loss
CONTROL15,22,5112783,5515645,Loss
CONTROL15,15,42259070,42913113,LOH
CONTROL15,18,37992282,38124440,Loss
CONTROL15,X,127624473,127718488,Gain
CONTROL15,18,28170090,28321168,LOH
CONTROL15,6,65755529,66153457,Loss
CONTROL15,1,1302194,1933208,Loss
CONTROL15,X,129002595,129649364,Loss
CONTROL15,20,59587669,60158422,Gain
CONTROL15,18,63463004,63855697,Gain
CONTROL15,5,132557478,133004321,Loss
CONTROL15,13,51664955,52075581,Loss
CONTROL15,6,33942253,34165979,Gain
CONTROL15,11,2329475,2808151,Loss
CONTROL15,11,9629507,10375295,Loss
CONTROL15,18,44361899,45247094,LOH
CONTROL15,5,82961777,83419153,Loss
CONTROL15,Y,3094480,3264520,Gain
CONTROL15,Y,33209286,34020913,Loss
CONTROL15,9,5736348,5799788,Gain
CONTROL15,16,75648564,76099882,Gain
CONTROL15,5,44688817,45113082,Gain
CONTROL15,7,66041408,66311354,Loss
CONTROL15,4,186623794,187054462,Loss
CONTROL15,18,64959004,65003738,Loss
CONTROL15,2,24862243,24929926,LOH
CONTROL15,11,66333012,67071176,Gain
CONTROL15,14,24551977,25155039,LOH
CONTROL15,13,45386145,45758504,Loss
CONTROL15,15,55228794,55388335,Loss
CONTROL15,5,175499444,176320510,Loss
CONTROL15,8,22195718,23172098,Gain
CONTROL15,15,47734189,47921990,Gain
CONTROL15,5,114878509,115006741,LOH
CONTROL15,7,98701688,98763338,Loss
CONTROL15,16,26140580,26338555,Loss
CONTROL15,X,29555602,29913304,LOH
CONTROL15,21,45437783,46150467,LOH
CONTROL16,X,77038541,77382023,Gain
CONTROL16,15,89618696,90023408,Loss
CONTROL16,Y,6503656,7366888,Loss
CONTROL16,17,31544778,31688237,LOH
CONTROL16,3,53075585,53203318,LOH
CONTROL16,1,112186334,112447986,Loss
CONTROL16,15,95532343,95618059,Loss
CONTROL16,9,36703472,37114886,LOH
CONTROL16,18,41290524,41674779,LOH
CONTROL16,14,37947158,38808200,Loss
CONTROL16,22,2215416,2749331,Gain
CONTROL16,22,33557326,34434902,Gain
CONTROL16,8,43121349,43283871,Gain
CONTROL16,9,57952442,58553121,Gain
CONTROL16,8,141220685,141655222,Loss
CONTROL16,9,97062182,97941349,Gain
CONTROL16,20,4624995,5611374,Gain
CONTROL16,15,2776686,2832271,Loss
CONTROL16,14,70570604,71431996,Loss
CONTROL16,16,83045573,83484811,LOH
CONTROL16,6,136724292,136874180,LOH
CONTROL16,X,91589242,91613787,LOH
CONTROL16,16,52661592,53205953,LOH
CONTROL16,X,76132015,76566265,LOH
CONTROL16,10,100746168,101701098,Gain
CONTROL16,8,100238295,100743030,Loss
CONTROL16,6,143911018,144683387,LOH
CONTROL16,20,38878341,39236678,Loss
CONTROL16,10,128820665,128891889,Gain
CONTROL16,11,48669502,49585966,LOH
CONTROL16,5,156542885,156799684,Loss
CONTROL16,5,147176979,148029905,Loss
CONTROL16,14,91044868,92002461,LOH
CONTROL16,2,175131797,175838659,Loss
CONTROL16,18,37315526,37896765,Gain
CONTROL16,1,168334195,169155456,Loss
CONTROL16,14,85939860,86340313,LOH
CONTROL16,8,116968495,117133465,Gain
CONTROL16,7,53603186,54389121,Gain
CONTROL16,3,33537573,33738660,Loss
CONTROL16,20,21499967,21758614,Gain
CONTROL16,20,32944002,33464557,Loss
CONTROL16,5,146628749,147418105,LOH
CONTROL16,6,89022195,89820278,LOH
CONTROL16,Y,4164168,4868916,Loss
CONTROL16,18,65773949,66504678,LOH
CONTROL16,5,75283772,75764588,Gain
CONTROL16,Y,8049358,9004005,LOH
CONTROL16,2,122916293,123013115,Gain
CONTROL16,4,173891621,174089277,Loss
CONTROL16,2,27672851,28587222,Gain
CONTROL16,7,129020701,129093921,Gain
CONTROL16,11,111164744,112143690,Loss
CONTROL16,7,140115478,140897121,LOH
CONTROL16,1,28457218,29441494,Loss
CONTROL16,18,40652264,41467557,Gain
CONTROL16,18,51783326,52482854,Gain
CONTROL16,22,12756429,13213349,Gain
CONTROL16,11,920866,1664432,LOH
CONTROL16,13,84894449,85354908,Gain
CONTROL16,9,93890571,93949725,Loss
CONTROL16,9,50667734,50685600,LOH
CONTROL16,4,18661779,19328620,LOH
CONTROL16,2,231223935,232193802,Gain
CONTROL16,12,78520303,79356142,Gain
CONTROL16,1,126292183,127270618,Loss
CONTROL16,3,65229638,66145895,LOH
CONTROL16,5,133150431,133363033,LOH
CONTROL16,4,179547367,179669597,Loss
CONTROL16,18,72391651,73192994,Loss
CONTROL16,15,62865302,63847000,LOH
CONTROL16,22,47128809,47645725,Gain
CONTROL16,13,89808217,89838969,Gain
CONTROL16,21,23735434,23773772,Loss
CONTROL16,22,7663521,7855733,LOH
CONTROL16,9,46321291,47072137,LOH
CONTROL16,19,40522763,40730517,Gain
CONTROL16,Y,4076947,4097480,Gain
CONTROL16,4,132848988,132942053,LOH
CONTROL16,X,55754756,56296441,Loss
CONTROL16,17,25305345,25715337,LOH
CONTROL16,16,8383082,9015878,Loss
CONTROL16,3,936587,1167321,Loss
CONTROL16,13,111565725,112081411,Gain
CONTROL16,17,1694598,2172995,LOH
CONTROL16,14,59855758,60704145,LOH
CONTROL16,9,16583683,17290659,Loss
CONTROL16,15,82066571,83005943,LOH
CONTROL16,17,48102160,49049301,Loss
CONTROL16,3,176358465,176718993,Loss
CONTROL16,7,151709385,152492443,Gain
CONTROL16,13,16851532,17036772,LOH
CONTROL16,13,47917447,48728062,Gain
CONTROL16,18,5724804,6481363,LOH
CONTROL16,19,39279977,39334520,LOH
CONTROL16,18,34635006,34950549,LOH
CONTROL16,22,40110625,40927937,Gain
CONTROL16,7,2459674,3141291,Gain
CONTROL16,18,62805134,63224938,Loss
CONTROL16,8,70286554,70531423,Gain
CONTROL16,3,156584996,157242879,Gain
CONTROL17,11,106940661,107603534,LOH
CONTROL17,16,29853681,30380408,Loss
CONTROL17,20,45624788,46117219,LOH
CONTROL17,14,101969908,102215420,LOH
CONTROL17,14,34059273,34507767,LOH
CONTROL17,4,100740285,101306641,Gain
CONTROL17,6,97796033,97892661,LOH
CONTROL17,18,14434192,15299269,Loss
CONTROL17,2,129899051,130278531,LOH
CONTROL17,7,131212314,131615330,Loss
CONTROL17,Y,52559195,53466219,Loss
CONTROL17,X,131670552,131821005,Loss
CONTROL17,1,38749267,39055536,Loss
CONTROL17,2,63618180,64062288,Gain
CONTROL17,14,42889455,43358116,Gain
CONTROL17,3,133835681,134521779,Gain
CONTROL17,19,36854029,37484088,Gain
CONTROL17,13,101835472,101972099,Loss
CONTROL17,12,82338256,82377303,Gain
CONTROL17,4,64109947,64999496,Gain
CONTROL17,13,35082881,35948112,Gain
CONTROL17,17,57089018,57489471,LOH
CONTROL17,8,15975342,16621232,Loss
CONTROL17,1,102082030,102547797,Gain
CONTROL17,14,104628293,104894574,Gain
CONTROL17,21,10573023,11224123,Loss
CONTROL17,2,129856276,130772325,Loss
CONTROL17,22,12898218,13713525,LOH
CONTROL17,6,11350186,11515977,Gain
CONTROL17,15,66786099,67567651,Gain
CONTROL17,13,15933961,15964274,Gain
CONTROL17,4,26406666,27359858,Gain
CONTROL17,2,216422056,216921848,Loss
CONTROL17,8,144111942,144968474,Loss
CONTROL17,5,122733222,123578999,LOH
CONTROL17,7,43802856,43979178,LOH
CONTROL17,15,91883041,92225129,LOH
CONTROL17,3,108912018,109079009,Loss
CONTROL17,10,26627784,27360783,Gain
CONTROL17,4,24982873,25898858,Gain
CONTROL17,15,20483200,21049362,Gain
CONTROL17,14,1312711,1825005,Loss
CONTROL17,19,37742905,38097122,LOH
CONTROL17,19,36835882,37312846,Loss
CONTROL17,19,24529608,24729268,Loss
CONTROL17,21,31431605,31856527,Loss
CONTROL17,12,63132087,63700183,LOH
CONTROL17,6,88329403,89124099,Loss
CONTROL17,X,71535754,72462546,Loss
CONTROL17,4,47066939,47525144,LOH
CONTROL17,13,61317409,61556566,Loss
CONTROL17,12,41602881,42081881,Gain
CONTROL17,15,47523031,48475527,LOH
CONTROL17,13,28785319,29363480,Loss
CONTROL17,Y,53112236,54019264,Loss
CONTROL17,18,26950539,27690094,Gain
CONTROL17,20,51498549,51517661,Gain
CONTROL17,8,93159002,94007102,Loss
CONTROL17,17,59989849,60711951,Loss
CONTROL17,2,8942036,9171002,Loss
CONTROL17,4,159841871,159880667,Loss
CONTROL17,6,48127929,48450182,Gain
CONTROL17,13,71588002,72407404,Gain
CONTROL17,19,56690222,57231114,Gain
CONTROL17,X,72878857,73703433,Loss
CONTROL17,1,75696941,75790934,Gain
CONTROL17,20,47948237,48367131,Gain
CONTROL17,4,165753135,166526011,Loss
CONTROL17,8,110463857,111073014,Gain
CONTROL17,17,36388321,37302111,LOH
CONTROL17,15,88485272,88594366,Gain
CONTROL17,11,71908227,72797256,LOH
CONTROL17,8,28441487,28670569,Gain
CONTROL17,3,148175869,149020967,Gain
CONTROL17,3,114349453,114443086,Gain
CONTROL17,2,140049764,140616322,LOH
CONTROL17,3,62035657,62535401,LOH
CONTROL17,21,30551462,31126101,Gain
CONTROL17,19,24451211,24642700,LOH
CONTROL17,5,161442352,161592851,Gain
CONTROL17,13,31515415,32259801,Gain
CONTROL17,8,85587199,86040785,LOH
CONTROL17,7,26723491,27307516,LOH
CONTROL17,19,33070081,34027340,Gain
CONTROL17,18,47434167,47991756,LOH
CONTROL17,22,28673818,29653974,Gain
CONTROL17,17,57217000,57535978,Loss
CONTROL17,12,31160361,31733854,Gain
CONTROL17,X,16422376,16821397,Gain
CONTROL17,16,82199,1020918,LOH
CONTROL17,8,15857637,16280972,Gain
CONTROL17,15,31576138,32116602,Loss
CONTROL17,3,21083551,22074728,Gain
CONTROL17,Y,47271667,47854639,LOH
CONTROL17,1,8933814,9599647,Gain
CONTROL17,20,35205264,35353803,Gain
CONTROL17,12,19724268,20263506,Loss
CONTROL17,12,290281,329500,Loss
CONTROL17,3,162637161,163552530,Gain
CONTROL17,16,46145133,46637824,Gain
CONTROL17,X,64423374,65351835,LOH
CONTROL18,3,123768524,124012311,Gain
CONTROL18,12,87179941,87230668,Loss
CONTROL18,1,23002302,23802564,Gain
CONTROL18,12,125269673,125401217,Loss
CONTROL18,14,30114875,30248192,Gain
CONTROL18,20,31161788,32034383,LOH
CONTROL18,15,31303375,31756008,Loss
CONTROL18,Y,43958448,44012223,LOH
CONTROL18,6,90875400,91680091,Loss
CONTROL18,11,54327990,54363236,Gain
CONTROL18,X,23454414,23893612,Loss
CONTROL18,19,1243264,1588463,Gain
CONTROL18,8,51414420,51524284,Gain
CONTROL18,6,86020503,86807758,Gain
CONTROL18,15,59159294,60131452,Loss
CONTROL18,13,102462284,103022336,Loss
CONTROL18,21,40158246,40586009,Loss
CONTROL18,2,53667293,54116185,Loss
CONTROL18,4,79683203,80348833,Loss
CONTROL18,5,16468772,16850473,LOH
CONTROL18,20,36052526,36404433,Gain
CONTROL18,10,97741066,98368283,Gain
CONTROL18,7,71997529,72615364,LOH
CONTROL18,11,80374300,80730656,LOH
CONTROL18,7,53596926,54263580,Gain
CONTROL18,14,48040781,48522809,Gain
CONTROL18,6,148623093,148971922,LOH
CONTROL18,22,27984341,28325933,Gain
CONTROL18,12,50535068,51402169,Gain
CONTROL18,5,29065198,29665079,Loss
CONTROL18,2,200780499,201473468,Loss
CONTROL18,19,49649738,50514523,LOH
CONTROL18,3,29358917,29590474,Gain
CONTROL18,10,43132434,43561393,LOH
CONTROL18,17,40015074,40720948,Gain
CONTROL18,4,109244673,109769611,LOH
CONTROL18,3,6696450,7198597,Gain
CONTROL18,8,19526481,19900011,Loss
CONTROL18,15,1542208,2492065,Loss
CONTROL18,12,10911121,11553067,Loss
CONTROL18,Y,15834388,16132047,Gain
CONTROL18,16,37038976,38029881,Gain
CONTROL18,7,64750900,65366196,Loss
CONTROL18,16,64713117,65338028,Gain
CONTROL18,8,120618988,121161063,LOH
CONTROL18,4,185911121,186371707,LOH
CONTROL18,9,124043582,124168189,Loss
CONTROL18,10,53098841,53650671,Gain
CONTROL18,18,65434032,66351413,Gain
CONTROL18,21,34523927,34959318,LOH
CONTROL18,4,176522330,176662541,Gain
CONTROL18,14,80189235,80927866,Loss
CONTROL18,5,1988019,2650672,LOH
CONTROL18,15,18546415,18916271,Loss
CONTROL18,14,66902002,67277738,LOH
CONTROL18,2,217951019,218381365,LOH
CONTROL18,5,76486259,77270749,Loss
CONTROL18,13,113608342,113737465,LOH
CONTROL18,15,22379808,22687452,Loss
CONTROL18,19,588344,1357620,Loss
CONTROL18,22,47300077,47956630,Loss
CONTROL18,3,16614730,17544523,LOH
CONTROL18,7,157718305,158449818,Gain
CONTROL18,9,95398898,96335847,Gain
CONTROL18,13,94348308,94771406,Gain
CONTROL18,10,83706084,83782630,Gain
CONTROL18,15,22991558,23531771,LOH
CONTROL18,5,147737632,148186222,LOH
CONTROL18,10,75465696,76129292,Loss
CONTROL18,X,71621950,72313134,Loss
CONTROL18,8,12163653,12740815,Gain
CONTROL18,14,91173010,91620594,Loss
CONTROL18,X,88738151,89531315,Loss
CONTROL18,3,82439091,83143335,LOH
CONTROL18,9,15261365,15496991,Gain
CONTROL18,6,30854538,31202075,Gain
CONTROL18,15,24272956,25269559,Gain
CONTROL18,1,112990054,113900768,Loss
CONTROL18,7,110142041,111063227,Gain
CONTROL18,8,144449690,145430642,LOH
CONTROL18,11,29372207,29759927,LOH
CONTROL18,15,51707387,51975104,LOH
CONTROL18,18,19579010,20245042,LOH
CONTROL18,3,8393086,9256020,LOH
CONTROL18,18,4566812,5158916,LOH
CONTROL18,16,41442548,42033149,Gain
CONTROL18,21,344866,1007794,Gain
CONTROL18,Y,52237831,52831796,LOH
CONTROL18,5,99115576,99772689,LOH
CONTROL18,1,43257753,43702472,Loss
CONTROL18,14,40390482,40453234,LOH
CONTROL18,20,25461273,25962747,Loss
CONTROL18,8,143143204,143567123,Loss
CONTROL18,20,57073633,57513333,Loss
CONTROL18,5,132545591,133448291,Gain
CONTROL18,17,22730592,23718738,LOH
CONTROL18,9,77263420,78046689,Loss
CONTROL18,1,132571476,133157008,LOH
CONTROL18,8,21574280,22349110,LOH
CONTROL18,5,31641157,31764684,Loss
CONTROL18,3,79899404,80578719,Gain
CONTROL19,Y,50761321,51409297,LOH
CONTROL19,14,16454405,16587978,Gain
CONTROL19,8,132854848,133333455,Gain
CONTROL19,12,80455347,81142579,LOH
CONTROL19,22,31232135,31456951,Loss
CONTROL19,14,50829570,50998869,Gain
CONTROL19,11,76152683,76238661,Gain
CONTROL19,15,69251888,70002168,LOH
CONTROL19,10,99734867,100132981,Loss
CONTROL19,18,10762141,11478259,Loss
CONTROL19,X,117191996,117453749,LOH
CONTROL19,13,58600868,59077506,LOH
CONTROL19,16,26939967,27096793,LOH
CONTROL19,X,47796711,48298808,Gain
CONTROL19,5,154656906,155074780,Loss
CONTROL19,18,39143150,39552061,Gain
CONTROL19,21,31810868,31997576,Gain
CONTROL19,X,110093549,110819088,LOH
CONTROL19,12,100123659,100788402,Loss
CONTROL19,X,102014932,102109901,LOH
CONTROL19,19,6941123,7874040,Loss
CONTROL19,3,30447570,30999450,Gain
CONTROL19,18,14243312,14511506,Loss
CONTROL19,Y,7040888,7926675,LOH
CONTROL19,X,30826568,30850656,LOH
CONTROL19,19,55917289,56792874,Gain
CONTROL19,22,21225771,21464120,LOH
CONTROL19,X,45170347,45602158,LOH
CONTROL19,4,165442268,166162328,Gain
CONTROL19,10,14305194,15125563,LOH
CONTROL19,17,45228298,45654020,LOH
CONTROL19,15,42036433,42594029,Gain
CONTROL19,22,41632262,42612867,LOH
CONTROL19,4,87687238,87735940,Gain
CONTROL19,12,40222183,40561834,Loss
CONTROL19,2,13735011,14411878,Gain
CONTROL19,13,18742270,19617952,Loss
CONTROL19,13,112134353,112829444,Loss
CONTROL19,11,114230438,114996818,LOH
CONTROL19,Y,8338247,8829857,Loss
CONTROL19,1,56651491,56914723,Loss
CONTROL19,18,35760638,36572525,LOH
CONTROL19,7,114135219,115003820,Loss
CONTROL19,21,1813620,2265971,Gain
CONTROL19,11,3988315,4975213,LOH
CONTROL19,6,97254328,97715360,Loss
CONTROL19,12,50479781,51405719,Loss
CONTROL19,17,10349329,10720058,LOH
CONTROL19,12,62648433,62793444,Gain
CONTROL19,2,194816921,195193555,Loss
CONTROL19,3,156290029,156367489,LOH
CONTROL19,4,46328590,47253916,Gain
CONTROL19,1,138345826,138817782,Loss
CONTROL19,Y,23547032,23872523,Gain
CONTROL19,12,30350822,30683850,Gain
CONTROL19,1,12753993,13619252,LOH
CONTROL19,17,78503277,78654742,Loss
CONTROL19,17,9867455,10730004,Gain
CONTROL19,15,54556157,55352301,Loss
CONTROL19,15,25378440,25619917,Gain
CONTROL19,17,24007450,24076925,LOH
CONTROL19,10,52049943,52404724,LOH
CONTROL19,3,114459405,115084795,Gain
CONTROL19,Y,47220662,48140176,Loss
CONTROL19,9,132223943,132355735,Gain
CONTROL19,17,76762901,77306177,Loss
CONTROL19,10,36752915,37066521,Gain
CONTROL19,11,24378196,24841370,LOH
CONTROL19,11,59282905,60027886,LOH
CONTROL19,20,2199790,2769460,Gain
CONTROL19,22,25842728,26055933,Gain
CONTROL19,2,171859261,172365959,LOH
CONTROL19,Y,21446930,21574932,LOH
CONTROL19,11,19404759,19697891,LOH
CONTROL19,6,155499929,156305935,LOH
CONTROL19,6,109551586,109642649,Gain
CONTROL19,2,214609989,214755463,Gain
CONTROL19,8,53593109,54003692,Loss
CONTROL19,6,94316682,95290500,Loss
CONTROL19,9,119169487,119935556,LOH
CONTROL19,10,53664582,53685786,Loss
CONTROL19,6,7235492,7658993,Loss
CONTROL19,18,2540678,3417471,Gain
CONTROL19,6,163837399,164174024,LOH
CONTROL19,19,13619692,14515204,LOH
CONTROL19,12,42931847,43032084,LOH
CONTROL19,19,7154575,7375444,Gain
CONTROL19,2,236177779,236328611,LOH
CONTROL19,22,8206992,9106590,Gain
CONTROL19,8,140035084,140087011,LOH
CONTROL19,4,73326267,74303682,Loss
CONTROL19,19,62773680,63588348,Loss
CONTROL19,14,20672547,21569985,Gain
CONTROL19,19,44066466,44913918,LOH
CONTROL19,6,145914034,146309991,LOH
CONTROL19,Y,41757155,41809163,Gain
CONTROL19,19,33009039,33698811,Loss
CONTROL19,12,100368031,101095638,Loss
CONTROL19,2,192850755,192933085,Loss
CONTROL19,9,105748930,106158533,LOH
CONTROL19,5,162275709,162717979,Gain
CONTROL20,X,82069752,82682795,Gain
CONTROL20,10,9556193,10416498,Gain
CONTROL20,20,11008473,11744906,Loss
CONTROL20,17,41759866,42148487,Gain
CONTROL20,20,59252446,60188680,Gain
CONTROL20,20,16501326,16794373,Loss
CONTROL20,X,76750453,76849310,Gain
CONTROL20,16,40639012,41097571,LOH
CONTROL20,3,22326013,22986328,Gain
CONTROL20,11,76569303,76590343,Loss
CONTROL20,18,71015041,71911915,LOH
CONTROL20,21,28543076,28888846,LOH
CONTROL20,18,20491840,21103229,LOH
CONTROL20,Y,8113847,8253541,Loss
CONTROL20,Y,32608729,32829911,LOH
CONTROL20,8,26120220,26548760,Loss
CONTROL20,Y,48386242,48503899,Gain
CONTROL20,6,130555892,130624303,Loss
CONTROL20,17,36962480,37227043,Loss
CONTROL20,22,38080814,38303758,Gain
CONTROL20,13,67662509,67999732,LOH
CONTROL20,1,105209107,105914391,Loss
CONTROL20,6,145785402,146601931,Gain
CONTROL20,19,1678668,2617320,Gain
CONTROL20,9,106617957,107546718,Gain
CONTROL20,18,73177976,74041971,Loss
CONTROL20,8,135959774,136558066,LOH
CONTROL20,19,7152562,7365009,Gain
CONTROL20,7,140539927,141398742,LOH
CONTROL20,11,85539823,86054703,Gain
CONTROL20,12,83703983,84238178,LOH
CONTROL20,4,157685036,158019885,Loss
CONTROL20,17,14620580,14689259,LOH
CONTROL20,8,6382519,7322186,LOH
CONTROL20,1,28795010,29252741,LOH
CONTROL20,20,29716277,29902416,LOH
CONTROL20,X,71437043,71857403,Loss
CONTROL20,10,80826764,81170920,Loss
CONTROL20,12,77624027,77871694,Loss
CONTROL20,1,196526594,196661242,LOH
CONTROL20,19,14915232,14951364,LOH
CONTROL20,19,41473158,41566073,Loss
CONTROL20,6,17763183,18061227,Gain
CONTROL20,16,12890505,13728853,Loss
CONTROL20,9,91485516,92207450,Loss
CONTROL20,8,78619675,78809815,Gain
CONTROL20,21,32063401,32697673,Gain
CONTROL20,22,22062813,22982174,Gain
CONTROL20,5,68249008,69130746,LOH
CONTROL20,8,106388093,106413160,Gain
CONTROL20,11,83257107,83333381,Loss
CONTROL20,21,19609019,19639554,LOH
CONTROL20,7,107396858,107479221,LOH
CONTROL20,18,54283980,55010797,Gain
CONTROL20,9,20800130,21452448,Gain
CONTROL20,14,31061840,31307390,Gain
CONTROL20,6,75875427,76647095,LOH
CONTROL20,18,39301702,40125653,LOH
CONTROL20,7,4740618,5663841,Gain
CONTROL20,5,133113765,133970580,LOH
CONTROL20,13,87872196,87956757,Loss
CONTROL20,8,50895607,51882293,Gain
CONTROL20,13,96652722,96962569,Loss
CONTROL20,13,105237923,105449120,LOH
CONTROL20,5,129367858,130348104,Loss
CONTROL20,14,30696399,31409647,Loss
CONTROL20,21,12749314,13026321,Gain
CONTROL20,7,17295638,17639738,Gain
CONTROL20,17,53871459,54177050,LOH
CONTROL20,14,32053657,32995504,Gain
CONTROL20,X,30264553,31180099,Gain
CONTROL20,19,20855041,21135669,Loss
CONTROL20,6,42914443,43396961,Loss
CONTROL20,19,16734137,16897609,Gain
CONTROL20,20,57716200,57977239,Gain
